title,area,monthly_rental
"
                    整租 · 怡海花园富泽园 2室1厅 7500元                  ",-,7500
"
                    整租 · 宝丰大厦 3室1厅 5500元                  ",-,5500
"
                    整租 ·  双井国贸乐成国际精装东北向开间 看房随时                  ",-,8800
"
                    星河城西区 1室1厅 5300元                  ",-,5300
"
                    白广路东里1号院 1室1厅 6800元                  ",-,6800
"
                    彩虹城四区 2室1厅 6500元                  ",-,6500
"
                    整租 · 远洋山水 1室0厅 5500元                  ",-,5500
"
                    整租 · gogo新世代 1室1厅 5400元                  ",-,5400
"
                    炫特嘉园三期 1室1厅 6500元                  ",-,6500
"
                    西罗园四区 2室1厅 5200元                  ",-,5200
"
                    整租 · 易构空间 1室0厅 6300元                  ",-,6300
"
                    整租 ·   木樨地精装修两居室 家具家电齐全 拎包入住                  ",-,8500
"
                    整租 ·   金融街 精装修正规一室一厅 能当两居用                  ",-,7800
"
                    整租 · 中海御鑫阁 2室1厅 9300元                  ",-,9300
"
                    整租 ·  朝向好 飘窗开间 晶都国际 拎包入住                  ",-,5900
"
                    整租 · 劲松五区 1室1厅 5000元                  ",-,5000
"
                    整租 ·   西井特钢楼板楼三层两居 有钥匙 随时入住 长租 精装                  ",-,4800
"
                    整租 · 方正开间 家具家电齐全 随时看房 随时入住                  ",-,7500
"
                    翠成馨园 1室1厅 4500元                  ",-,4500
